290, 154, 344, 205
186, 250, 217, 297
200, 280, 248, 311
196, 286, 226, 326
196, 262, 236, 301
290, 154, 344, 205
186, 250, 217, 297
200, 280, 248, 311
196, 286, 226, 326
196, 262, 236, 301
200, 284, 245, 326
185, 281, 216, 312
200, 280, 248, 311
196, 286, 226, 326
172, 271, 212, 302
200, 284, 245, 326
185, 281, 216, 312
171, 253, 213, 297
196, 286, 226, 326
172, 271, 212, 302
186, 250, 217, 297
186, 250, 217, 297
182, 282, 216, 315
196, 286, 226, 326
196, 262, 236, 301
182, 282, 216, 315
185, 281, 216, 313
200, 280, 248, 311
182, 282, 215, 315
172, 271, 212, 301
200, 284, 244, 326
182, 282, 216, 315
171, 253, 213, 297
196, 286, 226, 326
182, 282, 216, 315
186, 250, 217, 297
186, 250, 217, 297
172, 271, 212, 302
196, 286, 226, 326
196, 262, 236, 301
171, 253, 213, 297
185, 281, 216, 313
200, 280, 248, 311
186, 250, 217, 297
172, 271, 212, 302
200, 284, 245, 326
196, 262, 236, 301
171, 253, 213, 297
196, 286, 226, 326
200, 280, 248, 311
203, 253, 236, 303
203, 253, 236, 303
219, 284, 269, 316
213, 290, 244, 332
214, 265, 258, 306
218, 289, 265, 331
199, 286, 234, 319
219, 284, 269, 316
213, 290, 244, 332
185, 276, 229, 308
218, 289, 265, 331
199, 286, 234, 319
186, 257, 231, 303
213, 290, 244, 332
185, 276, 229, 308
203, 253, 236, 303
203, 253, 237, 303
195, 287, 235, 328
213, 290, 245, 331
215, 265, 258, 306
195, 287, 235, 328
199, 286, 234, 319
219, 285, 269, 316
194, 287, 235, 329
185, 276, 229, 307
217, 288, 265, 330
194, 287, 235, 329
186, 257, 231, 304
213, 290, 245, 331
195, 287, 235, 328
203, 253, 237, 303
203, 253, 236, 303
185, 276, 229, 308
213, 290, 244, 332
214, 265, 258, 306
186, 257, 231, 303
199, 286, 234, 319
219, 284, 269, 316
203, 253, 236, 303
185, 276, 229, 308
218, 289, 265, 331
214, 265, 258, 306
186, 257, 231, 303
213, 290, 244, 332
219, 284, 269, 316
223, 257, 257, 308
223, 257, 257, 308
240, 288, 292, 319
232, 294, 264, 336
235, 268, 283, 311
238, 293, 287, 335
215, 290, 255, 325
240, 288, 292, 319
232, 294, 264, 336
201, 281, 249, 313
238, 293, 287, 335
215, 290, 255, 325
203, 261, 253, 309
232, 294, 264, 336
201, 281, 249, 313
223, 257, 257, 308
223, 257, 258, 308
214, 292, 257, 339
232, 294, 265, 336
235, 269, 283, 311
214, 292, 257, 339
215, 290, 255, 325
240, 288, 292, 319
214, 292, 257, 339
201, 281, 249, 313
238, 293, 287, 335
214, 291, 257, 339
203, 262, 252, 309
232, 294, 265, 336
214, 292, 257, 339
223, 257, 258, 308
223, 257, 257, 308
201, 281, 249, 313
232, 294, 264, 336
235, 268, 283, 311
203, 261, 253, 309
215, 290, 255, 325
240, 288, 292, 319
223, 257, 257, 308
201, 281, 249, 313
238, 293, 287, 335
235, 268, 283, 311
203, 261, 253, 309
232, 294, 264, 336
240, 288, 292, 319
247, 259, 282, 312
247, 259, 282, 312
264, 291, 315, 321
254, 297, 286, 340
258, 270, 310, 315
260, 295, 311, 336
234, 294, 277, 329
264, 291, 315, 321
254, 297, 286, 340
220, 285, 271, 317
260, 295, 311, 336
234, 294, 277, 329
223, 264, 275, 313
254, 297, 286, 340
220, 285, 271, 317
247, 259, 282, 312
247, 259, 282, 311
240, 295, 281, 346
254, 297, 286, 340
258, 270, 309, 315
240, 295, 281, 347
234, 294, 277, 330
264, 292, 315, 321
240, 295, 281, 347
220, 286, 271, 317
261, 295, 311, 337
240, 295, 282, 347
223, 265, 276, 313
254, 297, 286, 340
240, 295, 281, 346
247, 259, 282, 311
247, 259, 282, 312
220, 285, 271, 317
254, 297, 286, 340
258, 270, 310, 315
223, 264, 275, 313
234, 294, 277, 329
264, 291, 315, 321
247, 259, 282, 312
220, 285, 271, 317
260, 295, 311, 336
258, 270, 310, 315
223, 264, 275, 313
254, 297, 286, 340
264, 291, 315, 321
273, 261, 307, 314
273, 261, 307, 314
290, 293, 342, 321
278, 299, 308, 342
283, 270, 337, 316
284, 298, 335, 337
255, 296, 301, 333
290, 293, 342, 321
278, 299, 308, 342
242, 288, 294, 320
284, 298, 335, 337
255, 296, 301, 333
246, 268, 301, 316
278, 299, 308, 342
242, 288, 294, 320
273, 261, 307, 314
273, 261, 306, 314
