291, 154, 342, 205
186, 251, 216, 295
202, 281, 246, 311
197, 287, 226, 325
198, 262, 235, 300
201, 286, 243, 325
185, 283, 215, 313
202, 281, 246, 311
197, 287, 226, 325
172, 271, 210, 301
201, 286, 243, 325
185, 283, 215, 313
172, 254, 211, 296
197, 287, 226, 325
172, 271, 210, 301
186, 251, 216, 295
186, 251, 216, 295
183, 283, 214, 315
197, 287, 226, 325
198, 262, 235, 300
183, 283, 214, 315
185, 283, 215, 313
202, 281, 246, 311
183, 283, 214, 315
172, 271, 210, 301
201, 286, 243, 325
183, 283, 214, 315
172, 254, 211, 296
197, 287, 226, 325
182, 283, 214, 315
186, 251, 216, 295
186, 251, 216, 295
172, 271, 210, 301
197, 287, 226, 325
198, 262, 235, 300
172, 254, 211, 296
185, 283, 215, 313
202, 281, 246, 311
186, 251, 216, 295
172, 271, 210, 301
201, 286, 243, 325
198, 262, 235, 300
172, 254, 211, 296
197, 287, 226, 325
202, 281, 246, 311
203, 255, 236, 301
204, 254, 236, 301
221, 286, 267, 316
214, 291, 244, 331
215, 266, 257, 305
220, 290, 264, 330
199, 287, 233, 318
221, 286, 267, 316
214, 291, 244, 331
186, 276, 228, 306
220, 290, 264, 330
199, 287, 233, 318
187, 258, 230, 301
214, 291, 244, 331
186, 276, 228, 306
204, 254, 236, 301
204, 254, 236, 301
195, 288, 233, 328
214, 291, 244, 331
215, 266, 257, 305
195, 288, 233, 328
199, 287, 233, 319
221, 286, 267, 316
195, 288, 233, 328
186, 276, 228, 306
220, 290, 264, 330
195, 288, 233, 328
187, 258, 230, 301
214, 291, 244, 331
195, 288, 233, 328
203, 254, 236, 301
203, 255, 236, 301
186, 276, 228, 306
214, 291, 244, 331
215, 266, 257, 305
187, 258, 230, 301
199, 287, 233, 319
221, 286, 267, 316
203, 255, 236, 301
186, 276, 228, 306
220, 290, 264, 330
215, 266, 257, 305
187, 258, 230, 301
214, 291, 244, 331
221, 286, 267, 316
224, 258, 257, 306
224, 258, 257, 306
243, 289, 290, 318
233, 295, 264, 335
236, 269, 282, 310
240, 294, 286, 334
216, 291, 253, 324
243, 289, 290, 318
233, 295, 264, 335
203, 281, 247, 311
240, 294, 286, 334
216, 291, 253, 324
204, 262, 250, 307
233, 295, 264, 335
203, 281, 247, 311
224, 258, 257, 306
224, 258, 257, 306
215, 293, 256, 339
233, 295, 264, 335
236, 269, 282, 310
215, 293, 256, 339
216, 291, 253, 325
243, 289, 290, 319
215, 293, 256, 339
203, 281, 247, 311
240, 294, 286, 334
215, 293, 256, 339
204, 262, 250, 307
233, 295, 264, 335
215, 293, 256, 339
224, 258, 257, 306
224, 258, 257, 306
203, 281, 247, 311
233, 295, 264, 335
236, 269, 282, 310
204, 262, 250, 307
216, 291, 253, 325
243, 289, 290, 319
224, 258, 257, 306
203, 281, 247, 311
240, 294, 286, 334
236, 269, 282, 310
204, 262, 250, 307
233, 295, 264, 335
243, 289, 290, 319
247, 261, 281, 310
247, 261, 281, 310
267, 292, 314, 320
255, 299, 285, 339
259, 271, 308, 313
262, 297, 310, 336
234, 295, 276, 329
267, 292, 314, 320
255, 299, 285, 339
222, 286, 269, 316
262, 297, 310, 336
234, 295, 276, 329
225, 266, 274, 311
255, 299, 285, 339
222, 286, 269, 316
247, 261, 281, 310
248, 261, 281, 310
240, 297, 280, 345
255, 299, 286, 339
259, 271, 308, 313
240, 297, 280, 345
235, 295, 276, 329
267, 292, 314, 321
240, 297, 280, 345
222, 286, 269, 316
262, 297, 310, 336
240, 297, 280, 345
225, 266, 274, 311
255, 299, 285, 339
240, 297, 280, 345
247, 261, 281, 310
247, 261, 281, 310
222, 286, 269, 316
255, 299, 285, 339
259, 271, 308, 313
225, 266, 274, 311
234, 295, 276, 329
267, 292, 314, 321
247, 261, 281, 310
222, 286, 269, 316
262, 297, 310, 336
259, 271, 308, 313
225, 266, 274, 311
255, 299, 285, 339
267, 292, 314, 321
273, 262, 306, 313
274, 262, 306, 313
293, 293, 341, 321
279, 301, 308, 342
284, 271, 335, 316
286, 298, 334, 336
256, 298, 300, 333
293, 293, 341, 321
279, 301, 308, 342
244, 289, 291, 319
286, 298, 334, 336
256, 298, 300, 333
247, 269, 298, 315
279, 301, 308, 342
244, 289, 291, 319
274, 262, 306, 313
274, 262, 306, 313
269, 299, 306, 349
279, 301, 308, 342
284, 271, 335, 316
269, 299, 306, 349
256, 298, 300, 333
293, 293, 341, 321
269, 299, 306, 349
244, 290, 291, 319
286, 298, 334, 336
269, 299, 306, 349
247, 269, 298, 315
279, 301, 308, 342
269, 299, 306, 349
273, 262, 306, 313
273, 262, 306, 313
244, 290, 291, 319
279, 301, 308, 342
284, 271, 335, 316
247, 269, 298, 315
256, 298, 300, 333
293, 293, 341, 321
273, 262, 306, 313
244, 290, 291, 319
286, 298, 334, 336
284, 271, 335, 316
247, 269, 298, 315
279, 301, 308, 342
293, 293, 341, 321
301, 263, 333, 313
302, 263, 333, 313
320, 292, 367, 320
304, 301, 332, 342
310, 271, 362, 316
311, 298, 357, 335
278, 298, 325, 335
320, 292, 367, 320
304, 301, 332, 342
268, 292, 315, 320
311, 298, 357, 335
278, 298, 325, 335
273, 271, 325, 316
304, 301, 332, 342
268, 292, 315, 320
302, 263, 333, 313
302, 263, 333, 313
300, 300, 336, 350
304, 301, 332, 342
310, 271, 362, 316
300, 300, 336, 350
278, 298, 325, 335
320, 292, 367, 320
300, 300, 336, 350
268, 293, 315, 320
311, 298, 357, 335
299, 300, 335, 350
273, 271, 325, 316
304, 301, 332, 342
299, 300, 335, 350
301, 263, 333, 313
301, 263, 333, 313
268, 293, 315, 321
304, 301, 332, 342
310, 271, 362, 316
273, 271, 325, 316
278, 298, 325, 335
320, 292, 367, 320
301, 263, 333, 313
268, 293, 315, 321
311, 298, 357, 335
310, 271, 362, 316
273, 271, 325, 316
304, 301, 332, 342
320, 292, 367, 320
329, 262, 361, 313
329, 262, 361, 313
344, 289, 391, 318
327, 300, 356, 341
336, 269, 387, 314
336, 298, 380, 333
302, 298, 349, 337
344, 289, 391, 318
